Symbol,Name,LastSale,MarketCap,Sector,industry
PIH,"1347 Property Insurance Holdings, Inc.",7.225,$43.24M,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.058,$64.05M,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",9.55,$617.16M,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),18.35,$148.14M,Finance,Savings Institutions
SRCE,1st Source Corporation,50.03,$1.3B,Finance,Major Banks
VNET,"21Vianet Group, Inc.",7.24,$814.5M,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",68.91,$3.6B,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",61.95,$3.83B,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,15.35,$1.21B,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,14.1,$1.3B,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",18.6,$417.68M,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",38.15,$1.13B,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",35.85,$1.88B,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",49.54,$1.12B,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,16.8,$785.82M,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,12.2052,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,0.515,$13.26M,Finance,Business Services
ABMD,"ABIOMED, Inc.",199.74,$8.83B,Health Care,Medical/Dental Instruments
ABLX,Ablynx NV,22.8,$1.7B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXAS,Abraxas Petroleum Corporation,2.055,$340.9M,Energy,Oil & Gas Production
ACIU,AC Immune SA,11.48,$653.47M,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",40,$1.58B,Technology,Semiconductors
ACTG,Acacia Research Corporation,4.25,$215.07M,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",30.36,$2.67B,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,28,$3.48B,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",1.96,$28.88M,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",26.55,$1.47B,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,37.18,$1.68B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,28.49,$582.7M,Finance,Savings Institutions
ARAY,Accuray Incorporated,5.25,$440.57M,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",2.25,$113.26M,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,17.655,$113.89M,Health Care,Major Pharmaceuticals
ACERW,Acer Therapeutics Inc.,0.0215,n/a,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,10.19,$312.23M,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",12.2,$517.2M,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",1.56,$18.64M,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",3.26,$449.42M,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",23.38,$2.77B,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",23.27,$717.52M,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",6.87,$103.82M,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,28,$196.55M,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",20.5,$958.32M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SQZZ,Active Alts Contrarian ETF,24.68,n/a,n/a,n/a
ATVI,"Activision Blizzard, Inc",66.03,$49.93B,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,15.55,$508.83M,Technology,EDP Services
ACXM,Acxiom Corporation,26.8,$2.12B,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",33.7,$767.65M,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,4.2,$140.23M,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,8.24,$771.98M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,32.1,$373.38M,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.45,$14.78M,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,8.45,$178.62M,Technology,Semiconductors
ADMA,ADMA Biologics Inc,3.19,$144.56M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,184.46,$90.93B,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",3.87,$263.43M,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",22.3,$1.07B,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",9,$699.57M,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,81.22,$3.59B,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",10.47,$220.81M,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",85.14,$3.38B,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",11.38,$10.98B,Technology,Semiconductors
ADXS,"Advaxis, Inc.",3.035,$124.63M,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",0.82,n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",3.05,$137.38M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AEGN,Aegion Corp,27.4,$891.23M,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",4.17,$69.41M,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,2.92,$62.9M,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",0.705,$13.98M,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",61.3,$2.25B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",45,$1.07B,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,2.1,$34.53M,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.069,$16.14M,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",1.27,$75.35M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,2.1,$93.81M,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,3.92,$392.72M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",5.17,$176.74M,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",12.15,$281.91M,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",61.32,$2.99B,Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,20.24,$7.92B,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,26.3,$9.11B,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,26.028,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",5.72,$287.93M,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.315,n/a,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",11.9,$175.15M,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",35.89,$1.83B,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",22.45,$45.86M,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",23.6,$1.4B,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",9.64,$92.34M,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,2.14,$134.42M,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",55.79,$9.44B,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,4.83,$73.69M,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",18.66,$1.24B,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",14.99,$708.56M,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,0.57,$5.07M,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",32.61,$4.08B,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",6.42,$124.34M,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",45.3,$2.14B,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",2.13,$111.71M,Public Utilities,Telecommunications Equipment
ALBO,"Albireo Pharma, Inc.",25.89,$230.41M,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,7.93,$112.96M,n/a,n/a
ALDR,"Alder BioPharmaceuticals, Inc.",10.5,$711.49M,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",6.4,$122.35M,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",108.54,$24.25B,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",31.9,$263.29M,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",254.64,$20.42B,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",1.26,$87.13M,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",3.62,$132.2M,Miscellaneous,Business Services
ALKS,Alkermes plc,51.05,$7.85B,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",38.35,$505.51M,Finance,Major Banks
ALGT,Allegiant Travel Company,137.9,$2.22B,Transportation,Air Freight/Delivery Services
ALNA,"Allena Pharmaceuticals, Inc.",13.105,$270.25M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AHGP,"Alliance Holdings GP, L.P.",25.6,$1.53B,Energy,Coal Mining
AMMA,"Alliance MMA, Inc.",1.5333,$19.42M,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",18.45,$2.41B,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",2.455,$9.85M,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",32.55,$307.69M,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",2.17,$10.82M,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,5.55,$183.78M,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",14.15,$2.56B,Technology,EDP Services
AFAM,Almost Family Inc,64,$893.95M,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",132.85,$12.32B,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,17.93,$428.08M,Technology,Semiconductors
GOOG,Alphabet Inc.,1040.61,$723.02B,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1056.61,$734.13B,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,24.8296,$27.31M,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",2.97,$49.67M,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",10.46,$145.2M,Health Care,Major Pharmaceuticals
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,29.53,$10.34M,n/a,n/a
AABA,Altaba Inc.,72.94,$63.7B,Technology,EDP Services
ALTR,Altair Engineering Inc.,24.92,$1.5B,Technology,Computer Software: Prepackaged Software
ALT,"Altimmune, Inc.",2.02,$31.62M,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,27.33,$489.34M,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,47.35,$1.39B,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",14.2,$502.32M,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,3.3,$893.9M,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",14.81,$104.14M,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",1186.41,$571.7B,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",14.24,$644.38M,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",5.589,n/a,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",58.44,$1.94B,Technology,Semiconductors
AMCX,AMC Networks Inc.,49.89,$3.09B,Consumer Services,Television Services
DOX,Amdocs Limited,64.96,$9.44B,Technology,EDP Services
AMDA,Amedica Corporation,3.68,$11.12M,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,56.09,$1.9B,Health Care,Medical/Nursing Services
UHAL,Amerco,353.471,$6.93B,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",3.25,$51.53M,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.55,n/a,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",6,$361.52M,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",17.507,$57.55B,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",48.56,$23.24B,Transportation,Air Freight/Delivery Services
ACSF,"American Capital Senior Floating, Ltd.",10.95,$109.5M,n/a,n/a
AETI,"American Electric Technologies, Inc.",1.6,$13.87M,Energy,Industrial Machinery/Components
AMNB,"American National Bankshares, Inc.",38.95,$336.81M,Finance,Major Banks
ANAT,American National Insurance Company,122.59,$3.3B,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,13.28,$717.14M,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",25,$406.7M,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",38.2,$729M,Capital Goods,Railroads
AMRB,American River Bankshares,15.1,$96.29M,Finance,Major Banks
AMSWA,"American Software, Inc.",12.31,$365.95M,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,3.23,$67.59M,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,95.85,$1.56B,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",46.4,$341.78M,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,48.55,$1.81B,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",64.65,$1.24B,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,4.25,$77.66M,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,28,n/a,Finance,Major Banks
ATLO,Ames National Corporation,29.95,$278.86M,Finance,Major Banks
AMGN,Amgen Inc.,170.13,$123.5B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",13.195,$2.19B,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",11.5,$2.75B,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",18.3,$841.36M,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,38.65,n/a,n/a,n/a
ASYS,"Amtech Systems, Inc.",13.26,$195.33M,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",8.85,$1.73B,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",3.68,$158.36M,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",89.15,$32.78B,Technology,Semiconductors
ALOG,Analogic Corporation,83.4,$1.04B,Capital Goods,Electrical Products
ANAB,"AnaptysBio, Inc.",81.46,$1.91B,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,3.97,$167.42M,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,24.75,$61.75M,Finance,Banks
ANDA,Andina Acquisition Corp. II,10.24,$49.94M,Finance,Business Services
ANDAR,Andina Acquisition Corp. II,1.11,n/a,Finance,Business Services
ANDAU,Andina Acquisition Corp. II,12,n/a,Finance,Business Services
ANDAW,Andina Acquisition Corp. II,0.9,n/a,Finance,Business Services
ANGI,ANGI Homeservices Inc.,11.97,$5.71B,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",17.35,$637.02M,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",74.33,$866.23M,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,54.82,$803.76M,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",151.91,$12.89B,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",1.83,$286.71M,Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",1.99,$27.56M,Health Care,Major Pharmaceuticals
APLS,"Apellis Pharmaceuticals, Inc.",13.6,$524.18M,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",47.89,$1.37B,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",4.08,$70.54M,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,6.07,$1.33B,n/a,n/a
APPF,"AppFolio, Inc.",44.15,$1.5B,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,21.16,$1.28B,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,174.97,$898.35B,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",1.09,$7.49M,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,2.37,$64.88M,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.42,n/a,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,3.95,$71.47M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",57.91,$61.76B,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",42.22,$818.32M,Technology,Semiconductors
AREX,Approach Resources Inc.,2.29,$198.12M,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",22.55,$910.76M,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",1.61,$24.5M,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,3.06,$65.57M,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",2.16,$54.88M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",3.06,$62.43M,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",4.1,$36.47M,n/a,n/a
AQXP,"Aquinox Pharmaceuticals, Inc.",10.66,$250.14M,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,3.62,$54.84M,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,1.67,$110.17M,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",7.02,$301.86M,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,6.05,$333.06M,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",2.15,$39.29M,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",1.45,$17.04M,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",0.2279,$9.73M,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,35.05,$898.57M,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,95.66,$12.52B,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,25.58,n/a,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,25.12,n/a,Finance,Property-Casualty Insurers
APLP,"Archrock Partners, L.P.",11.4,$800.12M,Public Utilities,Natural Gas Distribution
FUV,"Arcimoto, Inc.",3.766,$59.77M,Consumer Non-Durables,Motor Vehicles
ARCT,Arcturus Therapeutics Ltd.,9.01,$5.07M,n/a,n/a
ARDX,"Ardelyx, Inc.",6.1,$289.96M,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",29.26,$1.15B,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,16.37,$6.98B,n/a,n/a
ARGX,argenx SE,25.8,$693.28M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGII,"Argo Group International Holdings, Ltd.",60.6,$1.8B,Finance,Specialty Insurers
AGIIL,"Argo Group International Holdings, Ltd.",25.45,n/a,Finance,Specialty Insurers
ARGS,"Argos Therapeutics, Inc.",0.1923,$16.9M,Health Care,Major Pharmaceuticals
ARKR,Ark Restaurants Corp.,24.3,$83.24M,Consumer Services,Restaurants
ARTX,Arotech Corporation,3.9,$102.94M,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",1.55,$135.02M,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,11.48,$2.26B,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,29.1,$5.44B,Technology,Radio And Television Broadcasting And Communications Equipment
DWAT,Arrow DWA Tactical ETF,11.7501,$8.23M,n/a,n/a
AROW,Arrow Financial Corporation,35.45,$493.48M,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",3.7,$276.66M,Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",16.57,$179.28M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,40.84,$375.44M,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.75,$11.44M,Capital Goods,Industrial Machinery/Components
ASNA,"Ascena Retail Group, Inc.",2.15,$421.42M,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,36.81,$1.34B,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",11.95,$147.31M,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,2.95,$40.77M,Basic Industries,Telecommunications Equipment
ASML,ASML Holding N.V.,186.37,$80.24B,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,9,$122.34M,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",68.94,$5B,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",43.12,$750.19M,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",7.05,$46.7M,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",54.91,$1.27B,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,39.63,$1.11B,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",13.9,$93.72M,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,2.7699,$12.48M,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,14.82,$184.76M,Technology,EDP Services
ASV,"ASV Holdings, Inc.",8.05,$78.89M,Capital Goods,Construction/Ag Equipment/Trucks
ATAI,ATA Inc.,5.1,$123.63M,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",14.45,$442.11M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",129.44,$5.18B,Miscellaneous,Business Services
ATNX,"Athenex, Inc.",18.92,$1.1B,Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",2.04,$241.81M,Health Care,Major Pharmaceuticals
ATAC,Atlantic Acquisition Corp.,9.89,$58.08M,Finance,Business Services
ATACR,Atlantic Acquisition Corp.,0.5015,n/a,Finance,Business Services
ATACU,Atlantic Acquisition Corp.,10.27,n/a,Finance,Business Services
AAME,Atlantic American Corporation,3.7,$75.63M,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",16.45,$423.23M,Finance,Major Banks
ACFC,Atlantic Coast Financial Corporation,9.33,$145.12M,Finance,Savings Institutions
AY,Atlantica Yield plc,22.98,$2.3B,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,2.29,$35.1M,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,54.85,$1.39B,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",20,$240.61M,Finance,Property-Casualty Insurers
AFHBL,"Atlas Financial Holdings, Inc.",26.09,n/a,Finance,Property-Casualty Insurers
TEAM,Atlassian Corporation Plc,52.23,$12.02B,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",54.97,$880.43M,Public Utilities,Telecommunications Equipment
ATOM,Atomera Incorporated,4.21,$51.2M,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,0.3636,$9.64M,Health Care,Major Pharmaceuticals
ATRC,"AtriCure, Inc.",18.29,$630.53M,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,666,$1.23B,Health Care,Medical/Dental Instruments
ATTU,Attunity Ltd.,7.65,$131.17M,Technology,Computer Software: Prepackaged Software
LIFE,"aTyr Pharma, Inc.",4,$119.03M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,"Auburn National Bancorporation, Inc.",36.23,$132.01M,Finance,Major Banks
BOLD,"Audentes Therapeutics, Inc.",28.25,$843.41M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUDC,AudioCodes Ltd.,6.73,$218.13M,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,5.26,$441.7M,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,0.93,$41.23M,Health Care,Major Pharmaceuticals
ADSK,"Autodesk, Inc.",129.51,$28.39B,Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",110.02,$48.79B,Technology,EDP Services
AUTO,"AutoWeb, Inc.",8.64,$113.04M,Technology,"Computer Software: Programming, Data Processing"
AVDL,Avadel Pharmaceuticals plc,9.41,$374.16M,Health Care,Major Pharmaceuticals
ATXI,"Avenue Therapeutics, Inc.",3.98,$40.86M,Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",3.04,$359.7M,Health Care,Major Pharmaceuticals
AVXS,"AveXis, Inc.",96.18,$3.08B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNW,"Aviat Networks, Inc.",15.68,$83.39M,Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",7.38,$303.95M,Technology,Computer Software: Prepackaged Software
AVGR,"Avinger, Inc.",0.2335,$7.36M,Health Care,Medical/Dental Instruments
AVIR,"Aviragen Therapeutics, Inc.",0.5769,$22.3M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAR,"Avis Budget Group, Inc.",34.81,$2.83B,Consumer Services,Rental/Leasing Companies
AHPA,Avista Healthcare Public Acquisition Corp.,9.99,$387.11M,Finance,Business Services
AHPAU,Avista Healthcare Public Acquisition Corp.,10.35,n/a,Finance,Business Services
AHPAW,Avista Healthcare Public Acquisition Corp.,0.35,n/a,Finance,Business Services
AWRE,"Aware, Inc.",4.7,$101.58M,Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",36.65,$1.15B,Technology,Industrial Machinery/Components
AXGN,"AxoGen, Inc.",26,$890.79M,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
